"seller_id","percentage_on_time","avg_review_score"
"0ed6ce5d87fd9c69eaacaeb778d67235","0.86","4.4"
"b17b679f4f5ce2e03ce6968c62648246","0.86","3.6"
"e8a85b5f3df47be0984c55fd4064dbb4","0.86","4.7"
"adcf50477d6a1f5d91bb9d54c4903cb5","0.87","3.1"
"082e0bf4cb865a6533b1e8e498cc0255","0.87","3.3"
"f08c008c8a8d31417763738a1788a2a8","0.87","3.1"
"440dd6ab244315c632130ecfb63827b1","0.87","3.9"
"8b8cfc8305aa441e4239358c9f6f2485","0.87","4.2"
"8b9d6eec4a7eb7d0f9d579ce0b38324d","0.87","4.1"
"d3f39f05462b79a4562d35893a28f159","0.87","3.4"
"244c2f1bff6afe1f2eaf9bfe9b2aed38","0.87","3.7"
"431af27f296bc6519d890aa5a05fdb11","0.87","3.8"
"323ce52b5b81df2cd804b017b7f09aa7","0.87","4.3"
"4e8dacf3d38f281ae26c3e0321d92d88","0.87","2.5"
"014c0679dd340a0e338872e7ec85666a","0.87","3.7"
"4aba391bc3b88717ce08eb11e44937b2","0.87","3.9"
"3771c85bac139d2344864ede5d9341e3","0.87","3.6"
"bce6a5ecf98e99fd2a8868b15c51f04b","0.87","4.1"
"238fac594e170b59c6d228f5a4f4f1d9","0.87","4.0"
"57c764b4a836300be881e2ff86e449f9","0.87","4.2"
"655220df33262c7e0c4949a147366f94","0.87","4.2"
"be8e909810184b9b19e886129149d8e5","0.87","3.7"
"adbc26658d6c7b4b6219f9d934598091","0.87","4.1"
"f918546be4bec7104d117789ba758b2b","0.87","3.8"
"ca4b77513ac2040591b0d8fae6958380","0.87","4.5"
"f7ba60f8c3f99e7ee4042fdef03b70c4","0.87","4.2"
"7139dc5186aa238b006e066d8fbab2e4","0.88","4.1"
"2d2c62bef4c8ba0dd74e0e228e808539","0.88","4.1"
"b33aaadd1a8891d2dfef0c4c3bdf0371","0.88","3.8"
"681fce914360217db47784ae28905a96","0.88","3.9"
"afa6714acee029b2dfdf357e5579cc03","0.88","4.1"
"c4fb51fb1c5b7c07bc5e67be6e7e8f6e","0.88","3.5"
"7aa4334be125fcdd2ba64b3180029f14","0.88","4.1"
"e89c4adbe7b1d0819dbb636e16461cf1","0.88","3.9"
"e3a386fc36e22064434e1fa256f6a9fa","0.88","4.2"
"7e1fb0a3ebfb01ffb3a7dae98bf3238d","0.88","4.1"
"53d00c40e32aeb924a84ce72b1af869d","0.88","4.4"
"3361277dc30b7cccdb0c286b24219756","0.88","4.2"
"218f991754f360af9c2daa5e0b8e990c","0.88","3.5"
"3935fe5fe0f82787a9dcb8deb62be09d","0.88","3.9"
"9906e7aa42a3c067b7c9a564d01c4320","0.88","4.1"
"1eade46fba20122dc4aefb379f8c636b","0.88","4.3"
"ff1fb4c404b2efe68b03350a8dc24122","0.88","4.1"
"0b35c634521043bf4b47e21547b99ab5","0.88","3.5"
"8f2ce03f928b567e3d56181ae20ae952","0.88","4.1"
"b5e3e38609125694d2ea2417522a60b7","0.88","4.4"
"855668e0971d4dfd7bef1b6a4133b41b","0.88","3.7"
"2e90cb1677d35cfe24eef47d441b7c87","0.88","4.0"
"cee48807215b30a12ca2ca10ffb5f250","0.88","3.7"
"bbaff50f3b708fda865918715276cd87","0.88","4.8"
"903037660cf848a717166eb7a06d616e","0.88","3.8"
"34056b8b55c1775a22af2331670a799c","0.88","4.0"
"a6fe7de3d16f6149ffe280349a8535a0","0.88","4.0"
"04aa0a1c5ce6b222003403a3e11c3cc0","0.88","3.5"
